Source,Target,Interaction
ETS2,FHOD3,?
ETS2,FOXP3,?
ETS2,GALNT2,?
ETS2,GSK3B,?
ETS2,IKZF1,+
ETS2,IL10,-
ETS2,KAG9260673.1,?
ETS2,KAG9265403.1,?
ETS2,KAG9270684.1,?
ETS2,KAG9277335.1,?
ETS2,KAG9278225.1,?
ETS2,KDR,+
ETS2,KIRREL3,?
ETS2,LONRF2,?
ETS2,MARK1,?
ETS2,MED13,?
ETS2,MET,?
ETS2,MMP13,+
ETS2,MMP25,?
ETS2,MMP9,?
ETS2,NCAM2,?
ETS2,NEBL,?
ETS2,NPR1,+
ETS2,NR2C1-B,?
ETS2,NRCAM,?
ETS2,OPRD1,+
ETS2,PDE11A,?
ETS2,PKN2,?
ETS2,PRDM1,-
ETS2,PTGS2,+
ETS2,RCCD1,?
ETS2,RGS12,?
ETS2,RNF11,+
ETS2,RUNX3,?
ETS2,SPOP,?
ETS2,SPTAN1,?
ETS2,STMN4,?
ETS2,SULF2,?
ETS2,TGFBR2,+
ETS2,THBD,?
ETS2,TLE3B,?
ETS2,TLR4,+
ETS2,TRAF4,?
ETS2,TRIM71,?
ETS2,TUBB4B,?
ETS2,TYMS,?
ETS2,UBE2Q2,?
ETS2,UPP2,?
ETS2,VWF,+
ETS2,CDK1,?
ETS2,CDKN1A,?
ETS2,CGA,+
ETS2,CHRNG,+
ETS2,CXCL8,+
ETS2,EGR1,?
ETS2,IL12B,?
ETS2,LCK,+
ETS2,MMP2,?
ETS2,MMP9,+
ETS2,MYCB,?
ETS2,PDE7A,?
ETS2,TLR9,?
ETS2,TP53,?
ETS2,VWF,?
ETV4,CCND2,+
ETV4,ERBB2,-
ETV4,KAG9266431.1,?
ETV4,MMP24,+
ETV4,MMP2,?
ETV4,PTGS2,+
ETV4,SYN2,?
ETV4,TGFBR2,?
ETV4,TIMP2,?
ETV4,TNF,?
ETV4,VIM,+
ETV5,MMP2,?
ETV6,TGFBR1,?
ETV6,ADAM10,?
ETV6,ADD1,?
ETV6,ALDH5A1,?
ETV6,APIP,?
ETV6,ATP10D,?
ETV6,BICDL1,?
ETV6,CAMTA2,?
