,Source,Target,Interaction
826,CREB1B,PENKB,?
827,CREB1B,PLAUB,?
828,CREB1B,POLD2,?
829,CREB1B,PPARGC1A,?
830,CREB1B,PPM1DB,?
831,CREB1B,PPP2CB,+
832,CREB1B,PPP2CB,+
833,CREB1B,PPP2CB,+
834,CREB1B,LOC103039288,+
835,CREB1B,PRL2,?
836,CREB1B,PSEN1,+
837,CREB1B,PTGES,?
838,CREB1B,PTGS2B,+
839,CREB1B,SI:CH73-22O12.1,?
840,CREB1B,REN,+
841,CREB1B,SI:CH73-22O12.1,?
842,CREB1B,SLC19A1,?
843,CREB1B,SLC20A1B,+
844,CREB1B,SLC22A6L,?
845,CREB1B,LOC103025837,?
846,CREB1B,SMAD6B,+
847,CREB1B,SNAI1B,-
848,CREB1B,SNAI2,-
849,CREB1B,TH2,?
850,CREB1B,TLR9,?
851,CREB1B,UXT,+
852,CREB1B,VIPB,?
853,CREB1B,XPC,?
854,CREB1B,ACACA,+
855,CREB1B,ACSL4A,?
856,CREB1B,BCL2B,+
857,CREB1B,BCL2B,+
858,CREB1B,BCL2L11,?
859,CREB1B,BDKRB1,?
860,CREB1B,BDNF,+
861,CREB1B,CASP8,+
862,CREB1B,CCKB,?
863,CREB1B,LOC103038449,+
864,CREB1B,CFTR,?
865,CREB1B,CGA,?
866,CREB1B,CLDN11B,?
