Source,Target,Interaction
CERS5,WNT7AA,?
CERS5,WNT7AA,?
CERS5,WNT7AA,?
CHD5,CD79A,-
CHD5,JUND,-
CHD5,CD79A,-
CHD5,JUND,-
CHD7,JAG1B,+
CHD8,CCNE2,+
CHD8,HOXA2B,?
CHD8,MYCB,?
CHD8,MYCB,?
CHD8,TYMS,?
CIITA,CREBBPA,?
CIITA,FASLG,?
CIITA,IRF1B,?
CIITA,IRF2,?
CIITA,LOC103023101,-
CIITA,LOC103026908,?
CIITA,LOC111190039,?
CIITA,LOC111190556,+
CIITA,LOC111190556,+
CIITA,MMP9,-
CIITA,PLXNA1A,?
CIITA,PLXNA1A,?
CIITA,PSMC5,+
CIITA,RAB4B,?
CIITA,SIRT1,-
CIITA,SLC26A3.1,?
CIITA,SLC26A3.1,?
CITED2,CEBPA,+
CITED2,LDHBB,+
CITED2,LDHBB,+
CITED2,LDHD,+
CITED2,MMP13B,-
CITED2,MMP9,+
CITED2,PDK2A,+
CITED2,PPARG,+
CITED2,SMAD3B,+
CITED2,SMAD3B,+
CITED2,WNT4,+
CLOCKA,BHLHE40,+
CLOCKA,BHLHE41,+
CLOCKA,CRY1A,+
CLOCKA,CRY1A,+
CLOCKA,CRY2,+
CLOCKA,CRY1A,+
CLOCKA,KAT5B,?
CLOCKA,NAMPT1,+
CLOCKA,NR0B2A,+
CLOCKA,PER1B,+
CLOCKA,PER2,+
CLOCKA,PER3,+
CLOCKA,SERPINE1,+
CLOCKA,SERPINE2,+
CLOCKA,STAR,+
CLOCKA,THBD,?
CLOCKA,TPO,?
CLOCKA,VWF,?
CNOT8,PMP22B,?
COPS5,CDKN1BB,-
CRABP2A,RARAB,+
CREB1B,ACACA,+
CREB1B,ACSL4A,?
CREB1B,BCL2B,+
CREB1B,BCL2B,+
CREB1B,BCL2L11,?
CREB1B,BDKRB1,?
CREB1B,BDNF,+
CREB1B,CASP8,+
CREB1B,CCKB,?
CREB1B,LOC103038449,+
CREB1B,CFTR,?
CREB1B,CGA,?
CREB1B,CLDN11B,?
CREB1B,CLDN11B,?
CREB1B,CRTC1B,?
CREB1B,CXCR4B,?
CREB1B,ENTPD1,+
CREB1B,ERBB2,?
CREB1B,ESR1,?
CREB1B,FLT1,?
CREB1B,FOSAB,?
CREB1B,FOXA1,?
CREB1B,GABPA,?
CREB1B,GRPR,+
CREB1B,GSK3AB,?
CREB1B,GSK3AB,?
CREB1B,HSPA5,+
CREB1B,IL10,+
CREB1B,JUND,-
CREB1B,LAPTM4B,?
CREB1B,LDHA,?
CREB1B,LOC103021835,?
CREB1B,LOC103023525,?
CREB1B,LOC103025837,?
